"Assembly","Assembly_name","Organism","Assembly_type","Assembly_status","Submission_date","FTP_GenBank","Protein_URL"
"GCA_982436715.1","apul_EXF-150","Aureobasidium pullulans","haploid","Chromosome","2026/05/19 00:00","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/982/436/715/GCA_982436715.1_apul_EXF-150","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/982/436/715/GCA_982436715.1_apul_EXF-150/GCA_982436715.1_apul_EXF-150_protein.faa.gz"
"GCA_982436665.1","apul_EXF-3645","Aureobasidium pullulans","haploid","Contig","2026/06/15 00:00","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/982/436/665/GCA_982436665.1_apul_EXF-3645","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/982/436/665/GCA_982436665.1_apul_EXF-3645/GCA_982436665.1_apul_EXF-3645_protein.faa.gz"
"GCA_054790355.1","ASM5479035v1","Aureobasidium pullulans","haploid","Scaffold","2026/01/27 00:00","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/790/355/GCA_054790355.1_ASM5479035v1","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/790/355/GCA_054790355.1_ASM5479035v1/GCA_054790355.1_ASM5479035v1_protein.faa.gz"
"GCA_052057045.1","ASM5205704v1","Aureobasidium pullulans","haploid","Contig","2025/08/15 00:00","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/052/057/045/GCA_052057045.1_ASM5205704v1","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/052/057/045/GCA_052057045.1_ASM5205704v1/GCA_052057045.1_ASM5205704v1_protein.faa.gz"
"GCA_052057015.1","ASM5205701v1","Aureobasidium pullulans","haploid","Contig","2025/08/15 00:00","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/052/057/015/GCA_052057015.1_ASM5205701v1","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/052/057/015/GCA_052057015.1_ASM5205701v1/GCA_052057015.1_ASM5205701v1_protein.faa.gz"
"GCA_052056975.1","ASM5205697v1","Aureobasidium pullulans","haploid","Contig","2025/08/15 00:00","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/052/056/975/GCA_052056975.1_ASM5205697v1","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/052/056/975/GCA_052056975.1_ASM5205697v1/GCA_052056975.1_ASM5205697v1_protein.faa.gz"
"GCA_051942775.1","ASM5194277v1","Aureobasidium pullulans","haploid","Contig","2025/08/12 00:00","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/051/942/775/GCA_051942775.1_ASM5194277v1","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/051/942/775/GCA_051942775.1_ASM5194277v1/GCA_051942775.1_ASM5194277v1_protein.faa.gz"
"GCA_051912055.1","ASM5191205v1","Aureobasidium pullulans","haploid","Contig","2025/08/11 00:00","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/051/912/055/GCA_051912055.1_ASM5191205v1","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/051/912/055/GCA_051912055.1_ASM5191205v1/GCA_051912055.1_ASM5191205v1_protein.faa.gz"
"GCA_043161985.1","ASM4316198v1","Aureobasidium pullulans","haploid","Chromosome","2024/10/16 00:00","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/043/161/985/GCA_043161985.1_ASM4316198v1","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/043/161/985/GCA_043161985.1_ASM4316198v1/GCA_043161985.1_ASM4316198v1_protein.faa.gz"
"GCA_043230705.1","ASM4323070v1","Aureobasidium pullulans","haploid","Chromosome","2024/10/16 00:00","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/043/230/705/GCA_043230705.1_ASM4323070v1","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/043/230/705/GCA_043230705.1_ASM4323070v1/GCA_043230705.1_ASM4323070v1_protein.faa.gz"
"GCA_041956735.1","Aurpu1","Aureobasidium pullulans","haploid","Scaffold","2024/09/16 00:00","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/041/956/735/GCA_041956735.1_Aurpu1","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/041/956/735/GCA_041956735.1_Aurpu1/GCA_041956735.1_Aurpu1_protein.faa.gz"
