Assembly,Status
GCA_982436715.1_apul_EXF-150,downloaded
GCA_982436665.1_apul_EXF-3645,downloaded
GCA_054790355.1_ASM5479035v1,HTTP 404
GCA_052057045.1_ASM5205704v1,HTTP 404
GCA_052057015.1_ASM5205701v1,HTTP 404
GCA_052056975.1_ASM5205697v1,HTTP 404
GCA_051942775.1_ASM5194277v1,HTTP 404
GCA_051912055.1_ASM5191205v1,HTTP 404
GCA_043161985.1_ASM4316198v1,HTTP 404
GCA_043230705.1_ASM4323070v1,HTTP 404
GCA_041956735.1_Aurpu1,downloaded
GCA_040364705.1_JCM_22445_assembly_v001,HTTP 404
GCA_037367325.1_ASM3736732v1,HTTP 404
GCA_037042995.1_ASM3704299v1,HTTP 404
GCA_036850625.1_ASM3685062v1,HTTP 404
GCA_036418965.1_ASM3641896v1,downloaded
GCA_031010245.1_EIMB_APul_16_1.0,HTTP 404
GCA_937873235.1_SRR3017103_bin.1_CONCOCT_v1.1_MAG,HTTP 404
GCA_024115135.1_ASM2411513v1,HTTP 404
GCA_023079325.1_ASM2307932v1,HTTP 404
GCA_023079225.1_ASM2307922v1,HTTP 404
GCA_903819485.1_AWRI4231,downloaded
GCA_903819495.1_AWRI4232,downloaded
GCA_903819465.1_AWRI4230,downloaded
GCA_903819455.1_AWRI4229,downloaded
GCA_903819115.1_AWRI4621,downloaded
GCA_018410155.1_ASM1841015v1,HTTP 404
GCA_018410165.1_ASM1841016v1,HTTP 404
GCA_018408835.1_ASM1840883v1,HTTP 404
GCA_018408735.1_ASM1840873v1,HTTP 404
GCA_018408725.1_ASM1840872v1,HTTP 404
GCA_018408745.1_ASM1840874v1,HTTP 404
GCA_018408595.1_ASM1840859v1,HTTP 404
GCA_018408545.1_ASM1840854v1,HTTP 404
GCA_018408515.1_ASM1840851v1,HTTP 404
GCA_018408505.1_ASM1840850v1,HTTP 404
GCA_018408415.1_ASM1840841v1,HTTP 404
GCA_018408375.1_ASM1840837v1,HTTP 404
GCA_017165705.1_ASM1716570v1,HTTP 404
GCA_004918535.1_ASM491853v1,downloaded
GCA_004917115.1_ASM491711v1,downloaded
GCA_004918575.1_ASM491857v1,downloaded
GCA_004918505.1_ASM491850v1,downloaded
GCA_004918215.1_ASM491821v1,downloaded
GCA_004917225.1_ASM491722v1,downloaded
GCA_004918275.1_ASM491827v1,downloaded
GCA_004918245.1_ASM491824v1,downloaded
GCA_004918195.1_ASM491819v1,downloaded
GCA_004918165.1_ASM491816v1,downloaded
GCA_004918145.1_ASM491814v1,downloaded
GCA_004918105.1_ASM491810v1,downloaded
GCA_004918115.1_ASM491811v1,downloaded
GCA_004917795.1_ASM491779v1,downloaded
GCA_004917825.1_ASM491782v1,downloaded
GCA_004917815.1_ASM491781v1,downloaded
GCA_004917685.1_ASM491768v1,downloaded
GCA_004917745.1_ASM491774v1,downloaded
GCA_004917705.1_ASM491770v1,downloaded
GCA_004917155.1_ASM491715v1,downloaded
GCA_004917755.1_ASM491775v1,downloaded
GCA_004917725.1_ASM491772v1,downloaded
GCA_004917595.1_ASM491759v1,downloaded
GCA_004917605.1_ASM491760v1,downloaded
GCA_004917665.1_ASM491766v1,downloaded
GCA_004917145.1_ASM491714v1,downloaded
GCA_004917625.1_ASM491762v1,downloaded
GCA_004917505.1_ASM491750v1,downloaded
GCA_004917615.1_ASM491761v1,downloaded
GCA_004917525.1_ASM491752v1,downloaded
GCA_004917415.1_ASM491741v1,downloaded
GCA_004917555.1_ASM491755v1,downloaded
GCA_004917485.1_ASM491748v1,downloaded
GCA_004917495.1_ASM491749v1,downloaded
GCA_004917105.1_ASM491710v1,downloaded
GCA_004917435.1_ASM491743v1,downloaded
GCA_004917445.1_ASM491744v1,downloaded
GCA_004917425.1_ASM491742v1,downloaded
GCA_004917385.1_ASM491738v1,downloaded
GCA_004917375.1_ASM491737v1,downloaded
GCA_004917355.1_ASM491735v1,downloaded
GCA_004917335.1_ASM491733v1,downloaded
GCA_004917305.1_ASM491730v1,downloaded
GCA_004917135.1_ASM491713v1,downloaded
GCA_004917275.1_ASM491727v1,downloaded
GCA_004917255.1_ASM491725v1,downloaded
GCA_004917205.1_ASM491720v1,downloaded
GCA_004917185.1_ASM491718v1,downloaded
GCA_004917165.1_ASM491716v1,downloaded
GCA_003574545.1_ASM357454v1,HTTP 404
GCA_003336255.1_ASM333625v1,HTTP 404
GCA_001678115.1_ASM167811v1,downloaded
GCA_000294735.1_ASM29473v1,HTTP 404
GCA_000721785.1_Aureobasidium_pullulans_var._pullulans_EXF-150_assembly_version_1.0,downloaded
