Assembly,File,Status
GCA_982436715.1,GCA_982436715.1_apul_EXF-150_protein.faa.gz,downloaded
GCA_982436665.1,GCA_982436665.1_apul_EXF-3645_protein.faa.gz,downloaded
GCA_054790355.1,GCA_054790355.1_ASM5479035v1_genomic.gbff.gz,downloaded
GCA_052057045.1,GCA_052057045.1_ASM5205704v1_genomic.gbff.gz,downloaded
GCA_052057015.1,GCA_052057015.1_ASM5205701v1_genomic.gbff.gz,downloaded
GCA_052056975.1,GCA_052056975.1_ASM5205697v1_genomic.gbff.gz,downloaded
GCA_051942775.1,GCA_051942775.1_ASM5194277v1_genomic.gbff.gz,downloaded
GCA_051912055.1,GCA_051912055.1_ASM5191205v1_genomic.gbff.gz,downloaded
GCA_043161985.1,GCA_043161985.1_ASM4316198v1_genomic.gbff.gz,downloaded
GCA_043230705.1,GCA_043230705.1_ASM4323070v1_genomic.gbff.gz,downloaded
GCA_041956735.1,GCA_041956735.1_Aurpu1_protein.faa.gz,downloaded
GCA_040364705.1,GCA_040364705.1_JCM_22445_assembly_v001_genomic.gbff.gz,downloaded
GCA_037367325.1,GCA_037367325.1_ASM3736732v1_genomic.gbff.gz,downloaded
GCA_037042995.1,GCA_037042995.1_ASM3704299v1_genomic.gbff.gz,downloaded
GCA_036850625.1,GCA_036850625.1_ASM3685062v1_genomic.gbff.gz,downloaded
GCA_036418965.1,GCA_036418965.1_ASM3641896v1_protein.faa.gz,downloaded
GCA_031010245.1,GCA_031010245.1_EIMB_APul_16_1.0_genomic.gbff.gz,downloaded
GCA_937873235.1,GCA_937873235.1_SRR3017103_bin.1_CONCOCT_v1.1_MAG_genomic.gbff.gz,downloaded
GCA_024115135.1,GCA_024115135.1_ASM2411513v1_genomic.gbff.gz,downloaded
GCA_023079325.1,GCA_023079325.1_ASM2307932v1_genomic.gbff.gz,downloaded
GCA_023079225.1,GCA_023079225.1_ASM2307922v1_genomic.gbff.gz,downloaded
GCA_903819485.1,GCA_903819485.1_AWRI4231_protein.faa.gz,downloaded
GCA_903819495.1,GCA_903819495.1_AWRI4232_protein.faa.gz,downloaded
GCA_903819465.1,GCA_903819465.1_AWRI4230_protein.faa.gz,downloaded
GCA_903819455.1,GCA_903819455.1_AWRI4229_protein.faa.gz,downloaded
GCA_903819115.1,GCA_903819115.1_AWRI4621_protein.faa.gz,downloaded
GCA_018410155.1,GCA_018410155.1_ASM1841015v1_genomic.gbff.gz,downloaded
GCA_018410165.1,GCA_018410165.1_ASM1841016v1_genomic.gbff.gz,downloaded
GCA_018408835.1,GCA_018408835.1_ASM1840883v1_genomic.gbff.gz,downloaded
GCA_018408735.1,GCA_018408735.1_ASM1840873v1_genomic.gbff.gz,downloaded
GCA_018408725.1,GCA_018408725.1_ASM1840872v1_genomic.gbff.gz,downloaded
GCA_018408745.1,GCA_018408745.1_ASM1840874v1_genomic.gbff.gz,downloaded
GCA_018408595.1,GCA_018408595.1_ASM1840859v1_genomic.gbff.gz,downloaded
GCA_018408545.1,GCA_018408545.1_ASM1840854v1_genomic.gbff.gz,downloaded
GCA_018408515.1,GCA_018408515.1_ASM1840851v1_genomic.gbff.gz,downloaded
