"Protein_ID","UniProt_ID","Identity","Alignment_length","E_value","Bit_score","UniProt_accession"
"KEQ78315.1","tr|A0ABR0TPA1|A0ABR0TPA1_AURPU",78,255,6.28e-141,399,"A0ABR0TPA1"
"KEQ78319.1","tr|A0ABR0TNP4|A0ABR0TNP4_AURPU",92.3,491,0,880,"A0ABR0TNP4"
"KEQ78377.1","tr|A0ABR0TSR0|A0ABR0TSR0_AURPU",90.2,459,2.34000013468671e-317,857,"A0ABR0TSR0"
"KEQ78385.1","tr|A0ABR0TWH1|A0ABR0TWH1_AURPU",84.6,246,3.98e-115,328,"A0ABR0TWH1"
"KEQ78386.1","tr|A0ABR0TX04|A0ABR0TX04_AURPU",84.5,374,5.26e-220,610,"A0ABR0TX04"
"KEQ78392.1","tr|A0ABR0TWK7|A0ABR0TWK7_AURPU",88.3,546,0,968,"A0ABR0TWK7"
"KEQ78411.1","tr|A0ABR0TUR2|A0ABR0TUR2_AURPU",73.8,465,2.51e-242,671,"A0ABR0TUR2"
"KEQ78419.1","tr|A0ABR0TVM3|A0ABR0TVM3_AURPU",81,295,8.76e-175,483,"A0ABR0TVM3"
"KEQ78501.1","tr|A0ABR0TPZ7|A0ABR0TPZ7_AURPU",84.8,475,4.74e-286,777,"A0ABR0TPZ7"
"KEQ78535.1","tr|A0ABR0TRM6|A0ABR0TRM6_AURPU",84.2,423,8.36e-239,662,"A0ABR0TRM6"
"KEQ78541.1","tr|A0ABR0TT55|A0ABR0TT55_AURPU",97.7,303,3.39e-212,579,"A0ABR0TT55"
"KEQ78543.1","tr|A0ABR0TRM1|A0ABR0TRM1_AURPU",89.5,493,0,892,"A0ABR0TRM1"
"KEQ78544.1","tr|A0ABR0TSK5|A0ABR0TSK5_AURPU",90.4,550,0,879,"A0ABR0TSK5"
"KEQ78556.1","tr|A0ABR0TSW5|A0ABR0TSW5_AURPU",95,343,6.63e-236,642,"A0ABR0TSW5"
"KEQ78588.1","tr|A0ABR0T8H7|A0ABR0T8H7_AURPU",92.6,403,4.04e-283,766,"A0ABR0T8H7"
"KEQ78607.1","tr|A0ABR0TR61|A0ABR0TR61_AURPU",80.3,737,0,1150,"A0ABR0TR61"
"KEQ78629.1","tr|A0ABR0TR85|A0ABR0TR85_AURPU",90.9,515,0,948,"A0ABR0TR85"
"KEQ78664.1","tr|A0ABR0TUL1|A0ABR0TUL1_AURPU",71.8,379,2.54e-170,477,"A0ABR0TUL1"
"KEQ78698.1","tr|A0ABR0TGY9|A0ABR0TGY9_AURPU",88.1,293,8.49e-189,518,"A0ABR0TGY9"
"KEQ78714.1","tr|A0ABR0TCL3|A0ABR0TCL3_AURPU",73.4,583,2.99996660154805e-320,884,"A0ABR0TCL3"
"KEQ78749.1","tr|A0ABR0THF7|A0ABR0THF7_AURPU",89.9,337,4.62e-215,588,"A0ABR0THF7"
"KEQ78764.1","tr|A0ABR0TUY6|A0ABR0TUY6_AURPU",89,245,1.11e-155,431,"A0ABR0TUY6"
"KEQ78785.1","tr|A0ABR0TVM9|A0ABR0TVM9_AURPU",94,284,1.53e-186,512,"A0ABR0TVM9"
"KEQ78807.1","tr|A0ABR0TV17|A0ABR0TV17_AURPU",93.8,439,1.50999999755912e-315,851,"A0ABR0TV17"
"KEQ78814.1","tr|A0ABR0TV76|A0ABR0TV76_AURPU",94.4,1175,0,1986,"A0ABR0TV76"
"KEQ78842.1","tr|A0ABR0TJK7|A0ABR0TJK7_AURPU",78.1,324,1.57e-188,520,"A0ABR0TJK7"
"KEQ78889.1","tr|A0ABR0T600|A0ABR0T600_AURPU",82.5,308,1.52e-194,534,"A0ABR0T600"
"KEQ78908.1","tr|A0ABR0T5E1|A0ABR0T5E1_AURPU",91.1,643,0,1196,"A0ABR0T5E1"
"KEQ78909.1","tr|A0ABR0TAL5|A0ABR0TAL5_AURPU",71.7,1018,0,1496,"A0ABR0TAL5"
"KEQ78918.1","tr|A0A1A7MT36|A0A1A7MT36_AURPU",100,213,2.08e-151,417,"A0A1A7MT36"
"KEQ78933.1","tr|A0ABR0TAR4|A0ABR0TAR4_AURPU",99.3,450,0,913,"A0ABR0TAR4"
"KEQ78940.1","tr|A0ABR0TBL7|A0ABR0TBL7_AURPU",86.7,203,7.5e-129,361,"A0ABR0TBL7"
"KEQ78941.1","tr|A0ABR0TC68|A0ABR0TC68_AURPU",79.3,738,0,1241,"A0ABR0TC68"
"KEQ78951.1","tr|A0ABR0TB51|A0ABR0TB51_AURPU",93.9,278,2.3e-192,528,"A0ABR0TB51"
