accession,pLDDT,model
A0A4S9NQN6,88.81,AF-A0A4S9NQN6-F1
A0A4S9E1S8,96.12,AF-A0A4S9E1S8-F1
A0A1A7MQX0,94.56,AF-A0A1A7MQX0-F1
A0A4S9BKZ2,88.81,AF-A0A4S9BKZ2-F1
A0A4S9WTE7,83.44,AF-A0A4S9WTE7-F1
A0A1A7MT36,82.88,AF-A0A1A7MT36-F1
A0A1A7MSJ1,86.62,AF-A0A1A7MSJ1-F1
A0A4S9V848,86.69,AF-A0A4S9V848-F1
A0A4S9VC37,87.25,AF-A0A4S9VC37-F1
A0A4S8WAD4,97.06,AF-A0A4S8WAD4-F1
A0A4S8ZPW6,91.69,AF-A0A4S8ZPW6-F1
A0A4T0CKX7,88.0,AF-A0A4T0CKX7-F1
A0A4T0BF95,95.81,AF-A0A4T0BF95-F1
A0A4S9C0M7,94.12,AF-A0A4S9C0M7-F1
A0A4S9W8N5,89.62,AF-A0A4S9W8N5-F1
A0A1A7MJ80,78.56,AF-A0A1A7MJ80-F1
