UniProt_accession,Protein_name,Gene,Length
A0ABR0T544,2-dehydropantoate 2-reductase,QM012_005404,339
A0ABR0T591,Uncharacterized protein,QM012_005256,236
A0ABR0T5W1,CFEM domain-containing protein,QM012_005506,628
A0ABR0T648,Uncharacterized protein,QM012_005368,315
A0ABR0T682,"Protoheme IX farnesyltransferase, mitochondrial",QM012_005000,441
A0ABR0T6C3,NADP-dependent L-serine/L-allo-threonine dehydrogenase ydfG,QM012_005066,267
A0ABR0T6D7,NAD(P)-binding domain-containing protein,QM012_004997,269
A0ABR0T6J6,MARVEL domain-containing protein,QM012_005278,173
A0ABR0T6Y4,Major facilitator superfamily (MFS) profile domain-containing protein,QM012_005097,565
A0ABR0T829,Short chain dehydrogenase/reductase,QM012_004119,329
A0ABR0T899,Nucleotide-diphospho-sugar transferase,QM012_003882,626
A0ABR0T8J9,Secreted protein,QM012_003429,368
A0ABR0T8S3,NAD(P)-binding protein,QM012_003565,333
A0ABR0T8X3,Major facilitator superfamily (MFS) profile domain-containing protein,QM012_003671,516
A0ABR0T940,Uncharacterized protein,QM012_003036,105
A0ABR0T9E4,Uncharacterized protein,QM012_003087,146
A0ABR0T9H9,Zn(2)-C6 fungal-type domain-containing protein,QM012_003180,822
A0ABR0T9K9,Core domain-containing protein,QM012_003208,207
A0ABR0T9M0,Phospholipid/glycerol acyltransferase domain-containing protein,QM012_003085,796
A0ABR0T9S4,Uncharacterized protein,QM012_003067,257
A0ABR0T9W8,Aldehyde dehydrogenase,QM012_002565,533
A0ABR0TAS4,coproporphyrinogen oxidase,QM012_002830,415
A0ABR0TAU1,Autophagy-related protein,QM012_002884,119
A0ABR0TB01,Myb/SANT-like domain-containing protein,QM012_002954,329
A0ABR0TB27,Arp2/3 complex 20 kDa,QM012_003229,150
A0ABR0TBB7,Uncharacterized protein,QM012_002228,281
A0ABR0TCB3,Plus3 domain-containing protein,QM012_002911,592
A0ABR0TCE8,Glycosyl hydrolase,QM012_002941,378
A0ABR0TCI4,GPI transamidase-like protein component PIG-U,QM012_001752,428
A0ABR0TD45,ER-bound oxygenase mpaB/mpaB'/Rubber oxygenase catalytic domain-containing protein,QM012_001994,483
A0ABR0TD65,Uncharacterized protein,QM012_002405,637
A0ABR0TD89,40S ribosomal protein S8,QM012_002042,201
A0ABR0TDG3,HECT-type E3 ubiquitin transferase,QM012_002113,3943
A0ABR0TDG5,26S proteasome regulatory subunit 4 homolog,QM012_001238,466
A0ABR0TDS7,Lysine-specific metallo-endopeptidase domain-containing protein,QM012_001334,295
A0ABR0TE27,Vacuolar proton pump subunit B,QM012_001819,507
A0ABR0TE33,Acetyl-CoA synthetase-like protein,QM012_001342,546
A0ABR0TE66,WD40 repeat-like protein,QM012_001913,559
A0ABR0TE71,DNA-directed RNA polymerase subunit,QM012_001468,121
A0ABR0TEP0,Myb-like domain-containing protein,QM012_001643,1558
A0ABR0TF38,CCHC-type domain-containing protein,QM012_001609,228
A0ABR0TFJ4,Nucleolar protein 12,QM012_001441,221
A0ABR0TFP4,Large ribosomal subunit protein uL5m,QM012_001501,381
A0ABR0TFQ2,Uncharacterized protein,QM012_001535,1369
A0ABR0TFS8,Major facilitator superfamily (MFS) profile domain-containing protein,QM012_001531,483
A0ABR0TFX4,NADH:ubiquinone oxidoreductase 20.1kD subunit,QM012_001192,165
A0ABR0TG01,MFS-type drug efflux transporter P55,QM012_001204,557
A0ABR0TG69,MFS general substrate transporter,QM012_009208,491
A0ABR0TGL4,pectinesterase,QM012_009345,390
A0ABR0THJ5,"Saccharopine dehydrogenase [NAD(+), L-lysine-forming]",QM012_009201,374
A0ABR0THN1,Myb-like domain-containing protein,QM012_009530,292
A0ABR0THV4,TMEM1 family protein-like protein,QM012_008777,1485
A0ABR0THW7,Haloacid dehalogenase,QM012_009272,305
A0ABR0TID9,DUF1640-domain-containing protein,QM012_009043,464
A0ABR0TJ93,chitin synthase,QM012_008378,1857
A0ABR0TKP9,PGAM-domain-containing protein,QM012_007782,245
A0ABR0TKZ1,Serine aminopeptidase S33 domain-containing protein,QM012_007693,293
A0ABR0TL40,BTB domain-containing protein,QM012_007942,283
A0ABR0TLJ7,Uncharacterized protein,QM012_007811,416
A0ABR0TM06,BTB domain-containing protein,QM012_007115,480
A0ABR0TM38,Ran-interacting Mog1 protein,QM012_007150,189
A0ABR0TM63,UDP-glucose 6-dehydrogenase,QM012_008113,531
A0ABR0TMB5,Integral membrane protein-like protein,QM012_007230,315
A0ABR0TMJ2,Uncharacterized protein,QM012_007096,181
A0ABR0TMS7,MFS general substrate transporter,QM012_007341,503
A0ABR0TN10,Uncharacterized protein,QM012_007475,599
A0ABR0TNG4,Zn(II)2Cys6 transcription factor,QM012_007519,441
