accession,organism,pdb_count,pdb_ids
A0ABR0TT58,Aureobasidium pullulans,0,
A0ABR0TPA1,Aureobasidium pullulans,0,
A0ABR0TNP4,Aureobasidium pullulans,0,
A0ABR0T4B1,Aureobasidium pullulans,0,
A0ABR0TK68,Aureobasidium pullulans,0,
A0ABR0TSR0,Aureobasidium pullulans,0,
A0ABR0TWH1,Aureobasidium pullulans,0,
A0ABR0TX04,Aureobasidium pullulans,0,
A0ABR0TWK7,Aureobasidium pullulans,0,
A0ABR0T9G5,Aureobasidium pullulans,0,
A0ABR0T7Y5,Aureobasidium pullulans,0,
A0ABR0TBM8,Aureobasidium pullulans,0,
A0ABR0TVD3,Aureobasidium pullulans,0,
A0ABR0TEM7,Aureobasidium pullulans,0,
A0ABR0TUR2,Aureobasidium pullulans,0,
A0ABR0TUY5,Aureobasidium pullulans,0,
A0ABR0TVH8,Aureobasidium pullulans,0,
A0ABR0TVM3,Aureobasidium pullulans,0,
A0ABR0TNF4,Aureobasidium pullulans,0,
A0ABR0TAL6,Aureobasidium pullulans,0,
A0ABR0TIZ3,Aureobasidium pullulans,0,
A0ABR0THX3,Aureobasidium pullulans,0,
A0ABR0TWJ0,Aureobasidium pullulans,0,
A0ABR0T9V9,Aureobasidium pullulans,0,
A0ABR0TV80,Aureobasidium pullulans,0,
A0ABR0TG48,Aureobasidium pullulans,0,
A0ABR0TPZ7,Aureobasidium pullulans,0,
A0ABR0TQ14,Aureobasidium pullulans,0,
A0ABR0TRN9,Aureobasidium pullulans,0,
A0ABR0TRM6,Aureobasidium pullulans,0,
A0ABR0TT55,Aureobasidium pullulans,0,
A0ABR0TRM1,Aureobasidium pullulans,0,
A0ABR0TSK5,Aureobasidium pullulans,0,
A0ABR0TSW5,Aureobasidium pullulans,0,
A0ABR0T7Z1,Aureobasidium pullulans,0,
A0ABR0TLK5,Aureobasidium pullulans,0,
A0ABR0T7Y7,Aureobasidium pullulans,0,
A0ABR0T8H7,Aureobasidium pullulans,0,
A0ABR0T995,Aureobasidium pullulans,0,
A0ABR0TR61,Aureobasidium pullulans,0,
A0ABR0TR85,Aureobasidium pullulans,0,
A0ABR0TCD3,Aureobasidium pullulans,0,
A0ABR0TL88,Aureobasidium pullulans,0,
A0ABR0TE16,Aureobasidium pullulans,0,
A0ABR0TUL1,Aureobasidium pullulans,0,
A0ABR0TAZ6,Aureobasidium pullulans,0,
A0ABR0TMI7,Aureobasidium pullulans,0,
A0ABR0TGY9,Aureobasidium pullulans,0,
A0ABR0TGF1,Aureobasidium pullulans,0,
A0ABR0THQ6,Aureobasidium pullulans,0,
A0ABR0TG62,Aureobasidium pullulans,0,
A0ABR0TCL3,Aureobasidium pullulans,0,
A0ABR0TB11,Aureobasidium pullulans,0,
A0ABR0THC0,Aureobasidium pullulans,0,
A0ABR0TUX1,Aureobasidium pullulans,0,
A0ABR0THF7,Aureobasidium pullulans,0,
A0ABR0TV62,Aureobasidium pullulans,0,
A0ABR0TWL9,Aureobasidium pullulans,0,
A0ABR0TUY6,Aureobasidium pullulans,0,
A0ABR0TVM9,Aureobasidium pullulans,0,
A0ABR0TXA7,Aureobasidium pullulans,0,
A0ABR0THK0,Aureobasidium pullulans,0,
A0ABR0TV17,Aureobasidium pullulans,0,
A0ABR0TV76,Aureobasidium pullulans,0,
A0ABR0TP20,Aureobasidium pullulans,0,
A0ABR0T6W6,Aureobasidium pullulans,0,
A0ABR0T946,Aureobasidium pullulans,0,
A0ABR0TJK7,Aureobasidium pullulans,0,
A0ABR0TJJ2,Aureobasidium pullulans,0,
A0ABR0T6I4,Aureobasidium pullulans,0,
A0ABR0T5H2,Aureobasidium pullulans,0,
A0ABR0T5E0,Aureobasidium pullulans,0,
A0ABR0T600,Aureobasidium pullulans,0,
A0ABR0T662,Aureobasidium pullulans,0,
A0ABR0T5E8,Aureobasidium pullulans,0,
A0ABR0T5I6,Aureobasidium pullulans,0,
A0ABR0T6L3,Aureobasidium pullulans,0,
A0ABR0T5E1,Aureobasidium pullulans,0,
A0ABR0TAL5,Aureobasidium pullulans,0,
A0A1A7MT36,Aureobasidium pullulans,0,
A0ABR0TC53,Aureobasidium pullulans,0,
A0ABR0TAR4,Aureobasidium pullulans,0,
A0ABR0TBL7,Aureobasidium pullulans,0,
A0ABR0TC68,Aureobasidium pullulans,0,
A0ABR0TB51,Aureobasidium pullulans,0,
A0ABR0TBX2,Aureobasidium pullulans,0,
A0ABR0TTV9,Aureobasidium pullulans,0,
A0ABR0T4L5,Aureobasidium pullulans,0,
A0ABR0TID2,Aureobasidium pullulans,0,
A0ABR0TIB1,Aureobasidium pullulans,0,
A0ABR0TBI8,Aureobasidium pullulans,0,
A0ABR0TBK2,Aureobasidium pullulans,0,
A0ABR0TB07,Aureobasidium pullulans,0,
A0ABR0TA12,Aureobasidium pullulans,0,
A0ABR0TA45,Aureobasidium pullulans,0,
A0ABR0T9Y4,Aureobasidium pullulans,0,
A0ABR0TA06,Aureobasidium pullulans,0,
A0ABR0T7Z2,Aureobasidium pullulans,0,
A0ABR0T552,Aureobasidium pullulans,0,
A0ABR0T5Y3,Aureobasidium pullulans,0,
A0ABR0T4S7,Aureobasidium pullulans,0,
A0ABR0TW97,Aureobasidium pullulans,0,
A0ABR0T5W7,Aureobasidium pullulans,0,
A0ABR0T798,Aureobasidium pullulans,0,
A0ABR0TPW3,Aureobasidium pullulans,0,
A0ABR0TPC0,Aureobasidium pullulans,0,
A0ABR0TDN8,Aureobasidium pullulans,0,
A0A4S9R3Y4,Aureobasidium pullulans,0,
A0ABR0TUE6,Aureobasidium pullulans,0,
A0ABR0TDM5,Aureobasidium pullulans,0,
A0ABR0TDH6,Aureobasidium pullulans,0,
A0ABR0TD75,Aureobasidium pullulans,0,
A0ABR0TCF3,Aureobasidium pullulans,0,
A0ABR0TDG7,Aureobasidium pullulans,0,
A0ABR0TCX3,Aureobasidium pullulans,0,
A0ABR0TU94,Aureobasidium pullulans,0,
A0ABR0TVD5,Aureobasidium pullulans,0,
A0ABR0TXA8,Aureobasidium pullulans,0,
A0ABR0TUG1,Aureobasidium pullulans,0,
A0ABR0TV32,Aureobasidium pullulans,0,
A0ABR0TUC0,Aureobasidium pullulans,0,
A0ABR0TW77,Aureobasidium pullulans,0,
A0ABR0TVH9,Aureobasidium pullulans,0,
A0ABR0TKK9,Aureobasidium pullulans,0,
A0ABR0TSR9,Aureobasidium pullulans,0,
A0ABR0TTC9,Aureobasidium pullulans,0,
A0ABR0TTH5,Aureobasidium pullulans,0,
A0ABR0TSV7,Aureobasidium pullulans,0,
A0ABR0TSK2,Aureobasidium pullulans,0,
A0ABR0TTJ5,Aureobasidium pullulans,0,
A0ABR0TSG1,Aureobasidium pullulans,0,
A0ABR0TS14,Aureobasidium pullulans,0,
A0ABR0TS66,Aureobasidium pullulans,0,
A0ABR0TME6,Aureobasidium pullulans,0,
A0ABR0TIK1,Aureobasidium pullulans,0,
A0ABR0TJY5,Aureobasidium pullulans,0,
