"UniProt_accession","Protein_name","KEGG_Pathway","Category"
"A0A1A7MJ80","ADP-ribosylation factor","ko:K07937","Vesicle trafficking"
"A0A1A7MJ80","ADP-ribosylation factor","ko:K07977","Vesicle trafficking"
"A0A1A7MQX0","Uncharacterized protein","ko:K05692","Cytoskeleton"
"A0A1A7MSJ1","Small ribosomal subunit protein eS1","ko:K02984","Transplation"
"A0A1A7MT36","Uncharacterized protein","ko:K07904","Vesicle trafficking"
"A0A1A7MT36","Uncharacterized protein","ko:K07905","Vesicle trafficking"
"A0A4S8WAD4","Proteasome subunit beta","ko:K02735","Protein degradation"
"A0A4S8ZPW6","Uncharacterized protein","ko:K04513","Signal transduction"
"A0A4S8ZPW6","Uncharacterized protein","ko:K07975","Signal transduction"
"A0A4S9BKZ2","Uncharacterized protein","ko:K07941","Vesicle trafficking"
"A0A4S9C0M7","Uncharacterized protein","ko:K04536","Signal transduction"
"A0A4S9E1S8","Ribosomal protein L15","ko:K02877","Transplation"
"A0A4S9NQN6","Tubulin beta chain","ko:K07375","Cytoskeleton"
"A0A4S9V848","40S ribosomal protein S3","ko:K02985","Transplation"
"A0A4S9VC37","ATP-dependent RNA helicase eIF4A","ko:K03257","RNA metabolism"
"A0A4S9W8N5","Uncharacterized protein","ko:K14753","Signal transduction"
"A0A4S9WTE7","Uncharacterized protein","ko:K07893","Vesicle trafficking"
"A0A4T0BF95","Uncharacterized protein","ko:K02938","Transplation"
"A0A4T0CKX7","RNA helicase","ko:K13025","RNA metabolism"
