"Protein_ID","UniProt_ID","Identity","Alignment_length","E_value","Bit_score","UniProt_accession"
"KAK6003449.1","tr|A0ABR0TG94|A0ABR0TG94_AURPU",100,4901,0,9535,"A0ABR0TG94"
"KAK6006637.1","tr|A0ABR0TRA8|A0ABR0TRA8_AURPU",100,5451,0,9062,"A0ABR0TRA8"
"CAD0029489.1","tr|A0ABR0TXB7|A0ABR0TXB7_AURPU",88.3,4982,0,8252,"A0ABR0TXB7"
"KEQ84556.1","tr|A0ABR0TP87|A0ABR0TP87_AURPU",95.8,4331,0,8114,"A0ABR0TP87"
"KAK6004625.1","tr|A0ABR0TL54|A0ABR0TL54_AURPU",100,3801,0,7415,"A0ABR0TL54"
"KAK6008139.1","tr|A0ABR0TV85|A0ABR0TV85_AURPU",100,3812,0,7007,"A0ABR0TV85"
"KAK6002475.1","tr|A0ABR0TDG3|A0ABR0TDG3_AURPU",100,3943,0,6992,"A0ABR0TDG3"
"KAK6008025.1","tr|A0ABR0TUA1|A0ABR0TUA1_AURPU",100,3601,0,6906,"A0ABR0TUA1"
"KAK6000257.1","tr|A0ABR0T741|A0ABR0T741_AURPU",100,3211,0,6229,"A0ABR0T741"
"KAK6001180.1","tr|A0ABR0TB04|A0ABR0TB04_AURPU",100,2962,0,5908,"A0ABR0TB04"
"THW55832.1","tr|A0ABR0TQE2|A0ABR0TQE2_AURPU",94.5,3186,0,5845,"A0ABR0TQE2"
"KAK6005962.1","tr|A0ABR0TPA3|A0ABR0TPA3_AURPU",100,2973,0,5793,"A0ABR0TPA3"
"KAK6004854.1","tr|A0ABR0TKT3|A0ABR0TKT3_AURPU",100,2959,0,5735,"A0ABR0TKT3"
"KAK6004960.1","tr|A0ABR0TM13|A0ABR0TM13_AURPU",100,2929,0,5684,"A0ABR0TM13"
"KAK6001797.1","tr|A0ABR0TBW6|A0ABR0TBW6_AURPU",100,3943,0,5347,"A0ABR0TBW6"
"KAK6007544.1","tr|A0ABR0TSW9|A0ABR0TSW9_AURPU",100,3112,0,5286,"A0ABR0TSW9"
"KAK6003787.1","tr|A0ABR0TI35|A0ABR0TI35_AURPU",100,2573,0,5042,"A0ABR0TI35"
"KAK6000852.1","tr|A0ABR0T960|A0ABR0T960_AURPU",100,2578,0,5036,"A0ABR0T960"
"KAK6001612.1","tr|A0ABR0TBV5|A0ABR0TBV5_AURPU",100,2519,0,4929,"A0ABR0TBV5"
