KEQ78297.1	sp|P03913|NU4M_ASPAM	64.8	71	1.63e-22	92.0
KEQ78301.1	sp|Q6QU67|NU5M_ASPNG	86.9	289	9.04e-174	498
KEQ78302.1	sp|P14862|ATP6_COCHE	61.6	250	8.94e-69	213
KEQ78328.1	sp|Q869S5|DOKA_DICDI	21.4	677	2.53e-21	104
KEQ78377.1	sp|O42629|FAOX1_ASPFM	51.9	432	3.90e-154	447
KEQ78385.1	sp|Q4WCR3|PPIL1_ASPFU	63.6	151	1.43e-64	201
KEQ78386.1	sp|A0A0D2YFZ8|FUB11_FUSO4	41.1	331	4.01e-69	230
KEQ78392.1	sp|N1PA11|MAL11_YEASC	40.6	495	1.59e-120	371
KEQ78397.1	sp|I1RV24|BUT84_GIBZE	45.9	390	1.65e-124	370
KEQ78399.1	sp|Q7RVI1|RS5_NEUCR	59.5	126	6.91e-36	123
KEQ78400.1	sp|F2T1C4|MDR2_TRIRC	43.7	1279	0.0	988
KEQ78403.1	sp|A0A1W6BT46|APMB_PENBR	35.5	1017	1.14e-202	650
KEQ78405.1	sp|A0A0S2CHA9|PIGA_MONRU	52.5	221	3.45e-70	238
KEQ78406.1	sp|A0A0D2YFZ9|FUB10_FUSO4	53.1	49	2.42e-06	53.9
KEQ78411.1	sp|O74524|PROD_SCHPO	24.9	285	1.68e-20	97.8
KEQ78486.1	sp|G1XU02|AR281_ARTOA	52.7	315	4.62e-109	324
KEQ78488.1	sp|N4WE43|RED2_COCH4	35.2	213	1.35e-36	136
KEQ78489.1	sp|Q7D5F9|LIPF_MYCTO	28.0	218	1.75e-06	53.1
KEQ78492.1	sp|P87000|ACU15_NEUCR	23.4	535	1.22e-13	78.6
KEQ78496.1	sp|P43547|AAD6_YEAST	31.9	135	8.90e-12	67.0
KEQ78501.1	sp|Q9P6J4|YHD6_SCHPO	29.4	364	1.80e-28	117
KEQ78502.1	sp|C5M6H7|CMC4_CANTT	63.1	65	7.80e-27	96.3
KEQ78535.1	sp|Q4WUL0|HEXA_ASPFU	40.8	512	1.12e-80	264
KEQ78541.1	sp|E3RIP0|SHO1_PYRTT	65.3	317	1.32e-131	379
KEQ78543.1	sp|B2KWI3|SID4_AJECA	42.2	580	1.68e-141	426
KEQ78544.1	sp|P20107|ZRC1_YEAST	40.0	482	1.75e-97	306
KEQ78556.1	sp|A0A0D2YG00|FUB9_FUSO4	51.1	376	5.79e-123	362
KEQ78572.1	sp|A7LXT8|GH43A_BACO1	33.1	254	1.19e-35	138
KEQ78577.1	sp|Q4WY69|ROGA_ASPFU	23.6	339	2.04e-10	67.8
KEQ78588.1	sp|O94460|TGT_SCHPO	64.8	398	9.29e-194	544
KEQ78607.1	sp|P28348|NIRA_EMENI	28.9	506	1.30e-39	161
KEQ78629.1	sp|B9EXZ6|BAT1_ORYSJ	31.4	491	4.46e-63	217
KEQ78637.1	sp|O94511|YN67_SCHPO	40.7	295	4.65e-63	203
KEQ78640.1	sp|B8NM75|USTT_ASPFN	23.1	445	1.40e-14	80.1
KEQ78690.1	sp|L0MXJ3|FC9_DIAAM	29.8	466	3.92e-44	165
KEQ78692.1	sp|G2QFD0|LMCO1_THET4	45.0	626	5.44e-165	485
KEQ78698.1	sp|Q5ZJP9|CCNL1_CHICK	28.0	282	1.18e-22	100
KEQ78700.1	sp|Q9UTN8|UBC14_SCHPO	39.3	150	6.40e-37	127
KEQ78714.1	sp|A0A2Z6E914|SPDH_CORTS	38.3	590	2.25e-125	384
KEQ78719.1	sp|P52492|UBC11_YEAST	38.1	139	6.36e-29	107
KEQ78734.1	sp|P17064|FCY2_YEAST	30.2	494	8.32e-65	222
KEQ78749.1	sp|W6QB10|PRX1_PENRF	44.8	324	6.34e-73	232
KEQ78762.1	sp|Q9HET8|TRI15_FUSSP	31.3	281	5.67e-37	137
KEQ78785.1	sp|O60029|PET8_EREGS	52.4	269	2.06e-81	249
KEQ78786.1	sp|Q10441|TILS_SCHPO	38.1	244	5.48e-32	132
KEQ78807.1	sp|B3VI55|LGK_LIPST	76.2	428	5.86e-241	667
KEQ78814.1	sp|O42632|KPC1_COCHE	64.5	1219	0.0	1329
KEQ78819.1	sp|E9JFX9|DMOA_HYPSL	44.2	462	4.50e-135	402
KEQ78828.1	sp|Q4X017|ERG26_ASPFU	41.2	403	5.73e-80	254
KEQ78829.1	sp|P9WEG9|FSOE_HUMFU	25.7	214	2.34e-05	50.8
KEQ78830.1	sp|S3DQN8|GLOP_GLAL2	38.4	511	2.86e-112	346
KEQ78835.1	sp|A0A1L9WLF6|AACUD_ASPA1	33.3	279	5.93e-37	136
KEQ78842.1	sp|B6JVD0|ARO1_SCHJY	33.0	279	1.97e-33	134
KEQ78850.1	sp|O74308|YOG2_SCHPO	46.3	41	5.20e-04	46.6
KEQ78873.1	sp|I1RF57|AURR2_GIBZE	30.9	553	8.67e-73	249
KEQ78889.1	sp|O94305|MGLL_SCHPO	33.3	288	2.36e-45	160
KEQ78918.1	sp|P22129|RB11B_DIPOM	78.8	212	1.37e-111	321
KEQ78933.1	sp|O94128|TBA_ZYMTR	96.4	450	0.0	889
KEQ78940.1	sp|P42058|ALTA7_ALTAL	66.7	201	2.83e-96	281
KEQ78941.1	sp|P56523|CLR3_SCHPO	43.9	647	7.19e-186	548
KEQ78951.1	sp|G9N4A9|VIRD_HYPVG	43.4	279	1.19e-69	221
KEQ78952.1	sp|Q7NUZ0|CLPX_CHRVO	36.4	489	1.55e-89	286
KEQ78955.1	sp|Q9D379|HYEP_MOUSE	31.6	421	1.07e-53	187
KEQ78964.1	sp|P14137|CP11A_RAT	33.7	86	2.92e-06	54.3
KEQ79002.1	sp|P08158|AMDS_EMENI	36.4	547	9.17e-103	323
KEQ79003.1	sp|Q1DKX4|CHS7_COCIM	27.9	294	1.99e-28	114
KEQ79075.1	sp|Q6UEF4|AFLV_ASPPU	29.7	488	4.20e-39	151
KEQ79076.1	sp|P94502|YRDN_BACSU	48.5	130	3.60e-40	133
KEQ79105.1	sp|Q9W0T5|PYX_DROME	35.5	121	6.62e-06	54.3
KEQ79112.1	sp|Q9C8U6|IAN3_ARATH	32.6	132	4.77e-06	53.5
KEQ79130.1	sp|P10563|QUTA_EMENI	57.1	49	5.13e-08	57.0
KEQ79145.1	sp|G7IYC1|CAD2_MEDTR	34.6	327	5.16e-40	146
KEQ79150.1	sp|Q59QC7|UPC2_CANAL	44.7	76	7.56e-07	56.2
KEQ79152.1	sp|C8VJW1|HXNP_EMENI	26.3	452	3.26e-42	160
KEQ79157.1	sp|A2QY54|XYL2_ASPNC	46.8	252	1.49e-70	223
KEQ79183.1	sp|Q7RV75|RS22_NEUCR	86.9	130	2.81e-81	237
KEQ79194.1	sp|P0A391|NAHF_PSEPU	38.7	463	2.67e-96	302
KEQ79206.1	sp|P39731|MTW1_YEAST	36.0	164	3.24e-17	84.0
KEQ79211.1	sp|Q6FQK7|UBC6_CANGA	62.2	143	3.70e-62	199
KEQ79217.1	sp|P38196|FUI1_YEAST	34.6	486	7.82e-91	294
KEQ79225.1	sp|A0A024SH20|GUN2_TRIR3	57.0	435	7.22e-143	417
KEQ79251.1	sp|Q7D5F9|LIPF_MYCTO	26.0	331	5.33e-11	67.8
KEQ79300.1	sp|Q5K8S8|VA0E_CRYD1	59.3	59	8.01e-20	78.2
KEQ79308.1	sp|P34208|CHK1_SCHPO	33.4	518	4.76e-86	278
KEQ79317.1	sp|Q6CTX8|PYRD2_KLULA	34.7	502	3.25e-65	222
KEQ79325.1	sp|O13909|YDW1_SCHPO	32.4	429	3.09e-55	192
KEQ79331.1	sp|O13796|RCQ1_SCHPO	34.5	391	2.73e-55	202
KEQ79337.1	sp|O13911|PNK1_SCHPO	37.9	385	3.27e-82	262
KEQ79362.1	sp|Q7S158|VMA21_NEUCR	58.8	114	9.10e-27	99.0
KEQ79377.1	sp|Q9P8X9|PYRF_AURPU	95.9	267	4.15e-179	496
KEQ79378.1	sp|E9R598|FETC_ASPFU	53.9	595	7.32e-221	629
KEQ79440.1	sp|P10356|YEY2_YEAST	34.1	446	8.59e-56	194
KEQ79492.1	sp|Q5A1E3|CBF1_CANAL	61.1	108	1.77e-39	135
KEQ79516.1	sp|S0EFU6|BEA4_GIBF5	57.6	33	2.26e-05	50.8
KEQ79536.1	sp|P80235|CACM_YEAST	43.2	694	1.64e-170	511
KEQ79569.1	sp|Q9BY08|EBPL_HUMAN	44.1	170	6.26e-36	129
KEQ79570.1	sp|Q8IYM9|TRI22_HUMAN	38.2	76	2.01e-05	51.6
KEQ79577.1	sp|Q10211|YAY3_SCHPO	47.3	662	3.21e-215	619
KEQ79587.1	sp|Q9Y7P3|TGL3_SCHPO	35.2	486	4.28e-89	288
KEQ79598.1	sp|P09940|ATIF_CYBJA	58.1	43	4.92e-05	43.9
KEQ79623.1	sp|Q5BFF8|AP2S_EMENI	95.2	145	7.15e-98	280
KEQ79658.1	sp|B6HIC2|PAAT_PENRW	23.0	501	1.01e-19	96.3
