UniProt_accession,AlphaFold_model,pLDDT
P03913,True,91.88
Q6QU67,True,92.38
P14862,True,88.44
Q869S5,True,49.03
O42629,True,97.69
Q4WCR3,True,95.56
A0A0D2YFZ8,True,83.5
N1PA11,True,82.38
I1RV24,True,85.69
Q7RVI1,True,91.06
F2T1C4,True,82.25
A0A1W6BT46,True,81.44
A0A0S2CHA9,True,83.31
A0A0D2YFZ9,True,62.16
O74524,True,84.75
G1XU02,True,95.94
N4WE43,True,89.0
Q7D5F9,True,86.38
P87000,True,68.44
P43547,True,85.44
Q9P6J4,True,96.5
C5M6H7,True,90.06
Q4WUL0,True,58.66
E3RIP0,True,73.56
B2KWI3,True,91.19
P20107,True,69.19
A0A0D2YG00,True,92.0
A7LXT8,True,96.0
Q4WY69,True,58.94
O94460,True,94.56
P28348,True,69.62
B9EXZ6,True,87.25
O94511,True,93.19
B8NM75,True,79.06
L0MXJ3,True,84.44
G2QFD0,True,88.56
Q5ZJP9,True,68.31
Q9UTN8,True,95.75
A0A2Z6E914,True,92.31
P52492,True,94.0
P17064,True,85.94
W6QB10,True,93.69
Q9HET8,True,73.5
O60029,True,85.12
Q10441,True,90.5
B3VI55,True,95.44
O42632,True,70.06
E9JFX9,True,93.0
Q4X017,True,92.88
P9WEG9,True,90.94
S3DQN8,True,90.62
A0A1L9WLF6,True,94.44
B6JVD0,True,89.75
O74308,True,67.5
I1RF57,True,74.06
O94305,True,79.12
P22129,True,85.5
O94128,True,91.38
P42058,True,97.56
P56523,True,88.44
G9N4A9,True,95.88
Q7NUZ0,True,83.81
Q9D379,True,94.06
P14137,True,89.31
P08158,True,97.31
Q1DKX4,True,83.0
Q6UEF4,True,89.5
P94502,True,97.62
Q9W0T5,True,77.75
Q9C8U6,True,86.25
P10563,True,66.19
G7IYC1,True,95.5
Q59QC7,True,57.56
C8VJW1,True,79.94
A2QY54,True,96.12
Q7RV75,True,93.06
P0A391,True,98.44
P39731,True,76.5
Q6FQK7,True,91.94
P38196,True,80.81
A0A024SH20,True,91.56
Q5K8S8,True,92.62
P34208,True,84.62
Q6CTX8,True,92.69
O13909,True,75.38
O13796,True,71.81
O13911,True,88.94
Q7S158,True,63.53
Q9P8X9,True,94.94
E9R598,True,94.19
P10356,True,95.44
Q5A1E3,True,70.69
S0EFU6,True,76.81
P80235,True,90.75
Q9BY08,True,94.0
Q8IYM9,True,85.06
Q10211,True,93.56
Q9Y7P3,True,77.12
P09940,False,
Q5BFF8,True,94.81
B6HIC2,True,80.75
P38678,True,65.88
O34812,True,95.5
Q7SE80,True,91.5
P14068,True,87.75
O42904,True,74.88
Q6BU46,True,93.94
Q7S1R6,True,81.0
D4AU28,True,90.12
Q6NT99,True,98.12
Q4X1R1,True,84.31
A0A2J6RX17,True,85.19
P60327,True,98.5
Q5BC23,True,91.31
A0A384J409,True,67.75
A0A2V5GRP3,True,88.5
B8NDS8,True,78.0
A2QBQ3,True,62.69
Q7XTT4,True,54.88
A9BQY2,True,98.44
O59668,True,86.19
Q6P798,True,89.69
Q01738,True,92.5
G2Q1C9,True,69.25
P42117,True,91.0
D4B093,True,85.31
Q8N0X4,True,90.69
Q9US13,True,75.75
A0A075TXZ3,True,92.0
Q1K8U2,True,87.38
A4FV72,True,82.12
W7N466,True,73.25
Q7SE71,True,82.56
Q7SGE5,True,80.44
Q0UVK7,True,87.44
O74823,True,77.94
Q07950,True,84.06
P41056,True,97.31
Q6YFE5,True,91.06
O13868,True,83.31
A1C5F1,True,86.5
Q9P7F2,True,93.06
K4BW79,True,87.06
P50850,True,94.56
Q6C5V7,True,74.31
Q0C9R3,True,92.56
P32561,True,91.62
O94548,True,65.25
Q8N2Z9,True,89.38
O94562,True,95.12
G0SA56,True,65.25
O59826,True,94.38
O42916,True,92.19
P0CT64,True,95.81
P48013,True,70.81
A0A1D8PDT4,True,93.69
Q10488,True,94.06
G2WTI6,True,82.38
P24488,True,59.44
Q4W9R7,True,81.69
O74945,True,79.31
O60132,True,49.5
Q4WXV6,True,64.75
G3XP90,True,89.81
Q5AUY2,True,84.81
D5G4B1,True,82.31
Q70J59,True,89.81
O75083,True,96.5
D2D3B6,True,86.5
Q09908,True,58.34
Q7TNE1,True,91.94
Q9M8Z7,True,73.5
B0Y8Y5,True,88.0
Q2U0K1,True,87.19
Q9KBN7,True,94.0
Q9P7C5,True,79.69
Q0TVF9,True,91.38
Q0CTF3,True,90.12
Q9SJK3,True,82.44
Q9FF61,True,71.56
B2KWH6,True,85.94
A0A2I1BT15,True,93.75
Q9C467,True,91.19
A7YN26,True,93.12
Q09811,True,59.91
Q4IN52,True,85.0
Q5A1M4,True,77.44
P40185,True,92.25
P39992,True,65.81
P31723,True,94.56
P43619,True,96.25
O60476,True,85.25
P69310,True,95.5
P38163,True,85.12
Q5B3I9,True,74.69
Q4WXA1,True,76.19
Q95KV7,True,94.0
O59741,True,72.62
A0A2I1BSW0,True,94.81
I1RC73,True,79.56
A0A823A0V1,True,81.25
O13493,True,65.94
Q03795,True,78.56
A0A1V6PAN1,True,93.38
Q6QDR4,True,93.25
O74970,True,87.0
A0A179G9G5,True,76.56
Q8RY79,True,96.44
P18407,True,96.81
Q7SHI8,True,84.12
P07276,True,60.22
Q7SFB0,True,91.06
A7GKX6,True,93.12
A1DG72,True,89.81
P36070,True,81.25
Q6C338,True,88.12
Q5A0A9,True,74.12
A0A0B4FP77,True,95.88
P53699,True,78.5
Q9UM13,True,90.19
P22193,True,83.38
C6Y4C1,True,82.12
Q12029,True,81.69
O60081,True,87.19
Q7SDM8,True,92.69
Q9SF85,True,95.69
P0DUT8,True,70.81
Q05156,True,94.0
Q5AF55,True,63.81
G0S8E7,True,65.94
Q2QRV3,True,97.56
P58710,True,95.19
A2RAF6,True,78.69
P13604,True,96.81
Q00251,True,89.25
P40093,True,95.0
Q9US47,True,97.06
Q9LVW9,True,82.06
A0A0C4VYV1,True,89.81
G1UB37,True,78.75
P40215,True,88.94
Q03455,True,72.44
Q10086,True,75.12
F2SQT8,True,82.62
Q10097,True,84.31
O14360,True,59.34
Q9P7Q9,True,92.56
P14799,True,90.19
Q9SKJ7,True,88.5
P59234,True,87.12
Q54XV3,True,93.19
P29458,True,72.12
O14280,True,95.06
Q9I6M4,True,97.62
S0ARX1,True,87.06
Q09818,True,65.69
Q9H093,True,62.28
Q12559,True,96.88
Q5B797,True,78.56
Q5BD15,True,81.38
P40292,True,85.75
O94708,True,60.66
B1A0U5,True,64.62
Q4W9V1,True,95.69
O60105,True,95.88
Q10422,True,64.62
Q5BGK3,True,85.06
Q6MVL2,True,88.5
O94289,True,88.94
B0Y9Q4,True,76.88
A1C7B5,True,65.94
P53127,True,70.25
P09231,True,82.12
P87120,True,94.25
