accession,version,length,model_id,db_version,in_reference_proteome,description
A0A4S9NQN6,1,447,AF-A0A4S9NQN6-F1,6,True,tr|A0A4S9NQN6|A0A4S9NQN6_AURPU Tubulin beta chain OS=Aureobasidium pullulans OX=5580 GN=QM012_004357 PE=3 SV=1
A0A4S9E1S8,1,203,AF-A0A4S9E1S8-F1,6,True,tr|A0A4S9E1S8|A0A4S9E1S8_AURPU Ribosomal protein L15 OS=Aureobasidium pullulans OX=5580 GN=QM012_003457 PE=3 SV=1
A0A1A7MQX0,1,375,AF-A0A1A7MQX0-F1,6,True,tr|A0A1A7MQX0|A0A1A7MQX0_AURPU Uncharacterized protein OS=Aureobasidium pullulans OX=5580 GN=QM012_008839 PE=3 SV=1
A0A4S9BKZ2,1,183,AF-A0A4S9BKZ2-F1,6,True,tr|A0A4S9BKZ2|A0A4S9BKZ2_AURPU Uncharacterized protein OS=Aureobasidium pullulans OX=5580 GN=QM012_004290 PE=3 SV=1
A0A4S9WTE7,1,206,AF-A0A4S9WTE7-F1,6,True,tr|A0A4S9WTE7|A0A4S9WTE7_AURPU Uncharacterized protein OS=Aureobasidium pullulans OX=5580 GN=QM012_004444 PE=3 SV=1
A0A1A7MT36,1,213,AF-A0A1A7MT36-F1,6,True,tr|A0A1A7MT36|A0A1A7MT36_AURPU Uncharacterized protein OS=Aureobasidium pullulans OX=5580 GN=QM012_002833 PE=3 SV=1
A0A1A7MSJ1,1,255,AF-A0A1A7MSJ1-F1,6,True,tr|A0A1A7MSJ1|A0A1A7MSJ1_AURPU Small ribosomal subunit protein eS1 OS=Aureobasidium pullulans OX=5580 GN=RPS1 PE=3 SV=1
A0A4S9V848,1,267,AF-A0A4S9V848-F1,6,True,tr|A0A4S9V848|A0A4S9V848_AURPU 40S ribosomal protein S3 OS=Aureobasidium pullulans OX=5580 GN=QM012_003951 PE=3 SV=1
A0A4S9VC37,1,395,AF-A0A4S9VC37-F1,6,True,tr|A0A4S9VC37|A0A4S9VC37_AURPU ATP-dependent RNA helicase eIF4A OS=Aureobasidium pullulans OX=5580 GN=QM012_008918 PE=3 SV=1
A0A4S8WAD4,1,205,AF-A0A4S8WAD4-F1,6,True,tr|A0A4S8WAD4|A0A4S8WAD4_AURPU Proteasome subunit beta OS=Aureobasidium pullulans OX=5580 GN=QM012_007112 PE=3 SV=1
A0A4S8ZPW6,1,195,AF-A0A4S8ZPW6-F1,6,True,tr|A0A4S8ZPW6|A0A4S8ZPW6_AURPU Uncharacterized protein OS=Aureobasidium pullulans OX=5580 GN=QM012_006847 PE=3 SV=1
A0A4T0CKX7,1,400,AF-A0A4T0CKX7-F1,6,True,tr|A0A4T0CKX7|A0A4T0CKX7_AURPU RNA helicase OS=Aureobasidium pullulans OX=5580 GN=QM012_008266 PE=3 SV=1
A0A4T0BF95,1,254,AF-A0A4T0BF95-F1,6,True,tr|A0A4T0BF95|A0A4T0BF95_AURPU Uncharacterized protein OS=Aureobasidium pullulans OX=5580 GN=QM012_000694 PE=3 SV=1
A0A4S9C0M7,1,351,AF-A0A4S9C0M7-F1,6,True,tr|A0A4S9C0M7|A0A4S9C0M7_AURPU Uncharacterized protein OS=Aureobasidium pullulans OX=5580 GN=QM012_007903 PE=3 SV=1
A0A4S9W8N5,1,316,AF-A0A4S9W8N5-F1,6,True,tr|A0A4S9W8N5|A0A4S9W8N5_AURPU Uncharacterized protein OS=Aureobasidium pullulans OX=5580 GN=QM012_002663 PE=3 SV=1
A0A1A7MJ80,1,183,AF-A0A1A7MJ80-F1,6,True,tr|A0A1A7MJ80|A0A1A7MJ80_AURPU ADP-ribosylation factor OS=Aureobasidium pullulans OX=5580 GN=QM012_006679 PE=3 SV=1
