"UniProt_accession","Protein_ID","UniProt_ID","Identity","Alignment_length","E_value","Bit_score","minusLogE","model","pLDDT","Protein_name","Gene","Length"
"A0A1A7MJ80","CAD0014292.1","tr|A0A1A7MJ80|A0A1A7MJ80_AURPU",84.1,207,1.83e-116,327,115.73754891027,"AF-A0A1A7MJ80-F1",78.56,"ADP-ribosylation factor","QM012_006679",183
"A0A1A7MQX0","CAD0024870.1","tr|A0A1A7MQX0|A0A1A7MQX0_AURPU",91.4,394,1.45e-256,697,255.838631997765,"AF-A0A1A7MQX0-F1",94.56,"Uncharacterized protein","QM012_008839",375
"A0A1A7MSJ1","CAD0058881.1","tr|A0A1A7MSJ1|A0A1A7MSJ1_AURPU",91.3,275,7.37e-170,470,169.132532512141,"AF-A0A1A7MSJ1-F1",86.62,"Small ribosomal subunit protein eS1","RPS1",255
"A0A1A7MT36","KEQ78918.1","tr|A0A1A7MT36|A0A1A7MT36_AURPU",100,213,2.08e-151,417,150.681936665037,"AF-A0A1A7MT36-F1",82.88,"Uncharacterized protein","QM012_002833",213
"A0A4S8WAD4","KEQ83381.1","tr|A0A4S8WAD4|A0A4S8WAD4_AURPU",100,205,1.37e-152,419,151.863279432844,"AF-A0A4S8WAD4-F1",97.06,"Proteasome subunit beta","QM012_007112",205
"A0A4S8ZPW6","CAD0025589.1","tr|A0A4S8ZPW6|A0A4S8ZPW6_AURPU",91.5,213,8.16e-138,382,137.088309841246,"AF-A0A4S8ZPW6-F1",91.69,"Uncharacterized protein","QM012_006847",195
"A0A4S9BKZ2","CAC9893797.1","tr|A0A4S9BKZ2|A0A4S9BKZ2_AURPU",89.7,203,6.81e-127,353,126.166852888087,"AF-A0A4S9BKZ2-F1",88.81,"Uncharacterized protein","QM012_004290",183
"A0A4S9C0M7","OBW68444.1","tr|A0A4S9C0M7|A0A4S9C0M7_AURPU",100,351,1.67e-230,632,229.777283528852,"AF-A0A4S9C0M7-F1",94.12,"Uncharacterized protein","QM012_007903",351
"A0A4S9E1S8","THY10817.1","tr|A0A4S9E1S8|A0A4S9E1S8_AURPU",99.5,203,1.76e-146,404,145.754487332186,"AF-A0A4S9E1S8-F1",96.12,"Ribosomal protein L15","QM012_003457",203
"A0A4S9NQN6","KEQ87679.1","tr|A0A4S9NQN6|A0A4S9NQN6_AURPU",100,447,0,891,Inf,"AF-A0A4S9NQN6-F1",88.81,"Tubulin beta chain","QM012_004357",447
"A0A4S9V848","CAD0037448.1","tr|A0A4S9V848|A0A4S9V848_AURPU",100,267,3.1e-176,484,175.508638306166,"AF-A0A4S9V848-F1",86.69,"40S ribosomal protein S3","QM012_003951",267
"A0A4S9VC37","THW67535.1","tr|A0A4S9VC37|A0A4S9VC37_AURPU",100,392,5.51e-282,764,281.258848401148,"AF-A0A4S9VC37-F1",87.25,"ATP-dependent RNA helicase eIF4A","QM012_008918",395
"A0A4S9W8N5","THW27848.1","tr|A0A4S9W8N5|A0A4S9W8N5_AURPU",100,316,2.63e-213,582,212.58004425151,"AF-A0A4S9W8N5-F1",89.62,"Uncharacterized protein","QM012_002663",316
"A0A4S9WTE7","CAD0043976.1","tr|A0A4S9WTE7|A0A4S9WTE7_AURPU",83.3,246,1.29e-136,381,135.889410289701,"AF-A0A4S9WTE7-F1",83.44,"Uncharacterized protein","QM012_004444",206
"A0A4T0BF95","CAC9885200.1","tr|A0A4T0BF95|A0A4T0BF95_AURPU",87.7,284,1.79e-171,473,170.74714696902,"AF-A0A4T0BF95-F1",95.81,"Uncharacterized protein","QM012_000694",254
"A0A4T0CKX7","KEQ86412.1","tr|A0A4T0CKX7|A0A4T0CKX7_AURPU",100,400,7.64e-291,785,290.116906641424,"AF-A0A4T0CKX7-F1",88,"RNA helicase","QM012_008266",400
