accession,model,pLDDT
A0A4T0CKX7,AF-A0A4T0CKX7-F1,88.0
A0A4S9EF04,AF-A0A4S9EF04-F1,84.75
A0A4S9WTE7,AF-A0A4S9WTE7-F1,83.44
A0A4S9KUC8,AF-A0A4S9KUC8-F1,93.38
A0A4V4KB15,AF-A0A4V4KB15-F1,92.62
A0A4S9M3R8,AF-A0A4S9M3R8-F1,91.81
A0A1A7MQX0,AF-A0A1A7MQX0-F1,94.56
A0A1A7MPC9,AF-A0A1A7MPC9-F1,88.88
A0A4S8WFU2,AF-A0A4S8WFU2-F1,88.69
A0A4S9K794,AF-A0A4S9K794-F1,94.56
A0A1A7MEQ7,AF-A0A1A7MEQ7-F1,85.5
A0A1A7MSI2,AF-A0A1A7MSI2-F1,96.25
A0A4S8XF24,AF-A0A4S8XF24-F1,90.0
A0A4S8T0W2,AF-A0A4S8T0W2-F1,80.06
A0A1A7MHZ9,AF-A0A1A7MHZ9-F1,92.81
A0A4S9LF34,AF-A0A4S9LF34-F1,91.38
A0A4S9BKZ2,AF-A0A4S9BKZ2-F1,88.81
A0A4S8XUZ1,AF-A0A4S8XUZ1-F1,92.69
A0A4S9R3Y4,AF-A0A4S9R3Y4-F1,92.12
A0A4S8WAD4,AF-A0A4S8WAD4-F1,97.06
A0A1A7MCT6,AF-A0A1A7MCT6-F1,91.94
A0A4S8VB34,AF-A0A4S8VB34-F1,95.56
A0A4S8WRG9,AF-A0A4S8WRG9-F1,91.56
A0A4S9E1S8,AF-A0A4S9E1S8-F1,96.12
A0A4T0CQH0,AF-A0A4T0CQH0-F1,85.94
A0A4S9H3X9,AF-A0A4S9H3X9-F1,91.5
A0A4S9RW46,AF-A0A4S9RW46-F1,86.5
A0A4S9VC37,AF-A0A4S9VC37-F1,87.25
A0A1A7MRD3,AF-A0A1A7MRD3-F1,88.81
A0A4S9C0M7,AF-A0A4S9C0M7-F1,94.12
A0A4S9V848,AF-A0A4S9V848-F1,86.69
A0A4S8ZPW6,AF-A0A4S8ZPW6-F1,91.69
A0A4T0BF95,AF-A0A4T0BF95-F1,95.81
A0A1A7MT36,AF-A0A1A7MT36-F1,82.88
A0A1A7MQK9,AF-A0A1A7MQK9-F1,92.06
A0A4S9L2F9,AF-A0A4S9L2F9-F1,77.88
A0A1A7MGC9,AF-A0A1A7MGC9-F1,88.62
A0A4V4L0A3,AF-A0A4V4L0A3-F1,84.69
A0A1A7MNZ9,AF-A0A1A7MNZ9-F1,87.94
A0A1A7MJ80,AF-A0A1A7MJ80-F1,78.56
A0A4S9W8N5,AF-A0A4S9W8N5-F1,89.62
A0A1A7MSJ1,AF-A0A1A7MSJ1-F1,86.62
A0A1A7MRT4,AF-A0A1A7MRT4-F1,93.38
A0A4S9NQN6,AF-A0A4S9NQN6-F1,88.81
A0A4S9WKR7,AF-A0A4S9WKR7-F1,87.0
A0A4S9GRT3,AF-A0A4S9GRT3-F1,95.81
A0A4S9SLX0,AF-A0A4S9SLX0-F1,91.38
