Assembly,Status
GCA_054790355.1_ASM5479035v1,HTTP 404
GCA_052057045.1_ASM5205704v1,HTTP 404
GCA_052057015.1_ASM5205701v1,HTTP 404
GCA_052056975.1_ASM5205697v1,HTTP 404
GCA_051942775.1_ASM5194277v1,HTTP 404
GCA_051912055.1_ASM5191205v1,HTTP 404
GCA_043161985.1_ASM4316198v1,HTTP 404
GCA_043230705.1_ASM4323070v1,HTTP 404
GCA_040364705.1_JCM_22445_assembly_v001,HTTP 404
GCA_037367325.1_ASM3736732v1,HTTP 404
GCA_037042995.1_ASM3704299v1,HTTP 404
GCA_036850625.1_ASM3685062v1,HTTP 404
GCA_031010245.1_EIMB_APul_16_1.0,HTTP 404
GCA_937873235.1_SRR3017103_bin.1_CONCOCT_v1.1_MAG,HTTP 404
GCA_024115135.1_ASM2411513v1,HTTP 404
GCA_023079325.1_ASM2307932v1,HTTP 404
GCA_023079225.1_ASM2307922v1,HTTP 404
GCA_018410155.1_ASM1841015v1,HTTP 404
GCA_018410165.1_ASM1841016v1,HTTP 404
GCA_018408835.1_ASM1840883v1,HTTP 404
GCA_018408735.1_ASM1840873v1,HTTP 404
GCA_018408725.1_ASM1840872v1,HTTP 404
GCA_018408745.1_ASM1840874v1,HTTP 404
GCA_018408595.1_ASM1840859v1,HTTP 404
GCA_018408545.1_ASM1840854v1,HTTP 404
GCA_018408515.1_ASM1840851v1,HTTP 404
GCA_018408505.1_ASM1840850v1,HTTP 404
GCA_018408415.1_ASM1840841v1,HTTP 404
GCA_018408375.1_ASM1840837v1,HTTP 404
GCA_017165705.1_ASM1716570v1,HTTP 404
GCA_003574545.1_ASM357454v1,HTTP 404
GCA_003336255.1_ASM333625v1,HTTP 404
GCA_000294735.1_ASM29473v1,HTTP 404
